show_id,type,title,director,date_added,release_year,rating,duration,listed_in,Platform
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,"September 25, 2021",2020,7.4,90 min,Documentaries,Netflix
s2,TV Show,Blood & Water,,"September 24, 2021",2021,6.7,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix
s3,TV Show,Ganglands,Julien Leclercq,"September 24, 2021",2021,7.2,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix
s4,TV Show,Jailbirds New Orleans,,"September 24, 2021",2021,6.5,1 Season,"Docuseries, Reality TV",Netflix
s5,TV Show,Kota Factory,,"September 24, 2021",2021,9.0,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s6,TV Show,Midnight Mass,Mike Flanagan,"September 24, 2021",2021,7.7,1 Season,"TV Dramas, TV Horror, TV Mysteries",Netflix
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","September 24, 2021",2021,6.8,91 min,Children & Family Movies,Netflix
s8,Movie,Sankofa,Haile Gerima,"September 24, 2021",1993,7.0,125 min,"Dramas, Independent Movies, International Movies",Netflix
s9,TV Show,The Great British Baking Show,Andy Devonshire,"September 24, 2021",2021,8.1,9 Seasons,"British TV Shows, Reality TV",Netflix
s10,Movie,The Starling,Theodore Melfi,"September 24, 2021",2021,6.4,104 min,"Comedies, Dramas",Netflix
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,6.7,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"September 23, 2021",2021,5.8,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix
s13,Movie,Je Suis Karl,Christian Schwochow,"September 23, 2021",2021,5.6,127 min,"Dramas, International Movies",Netflix
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"September 22, 2021",2021,5.3,91 min,"Children & Family Movies, Comedies",Netflix
s15,TV Show,Crime Stories: India Detectives,,"September 22, 2021",2021,7.0,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Netflix
s16,TV Show,Dear White People,,"September 22, 2021",2021,6.4,4 Seasons,"TV Comedies, TV Dramas",Netflix
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams","September 22, 2021",2020,6.8,67 min,"Documentaries, International Movies",Netflix
s18,TV Show,Falsa identidad,,"September 22, 2021",2020,7.0,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix
s19,Movie,Intrusion,Adam Salky,"September 22, 2021",2021,5.3,94 min,Thrillers,Netflix
s20,TV Show,Jaguar,,"September 22, 2021",2021,5.8,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,"September 22, 2021",2021,6.3,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix
s22,TV Show,Resurrection: Ertugrul,,"September 22, 2021",2018,7.9,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"September 21, 2021",1996,7.9,161 min,"Comedies, International Movies",Netflix
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","September 21, 2021",2021,6.6,61 min,Children & Family Movies,Netflix
s25,Movie,Jeans,S. Shankar,"September 21, 2021",1998,8.0,166 min,"Comedies, International Movies, Romantic Movies",Netflix
s26,TV Show,Love on the Spectrum,,"September 21, 2021",2021,8.4,2 Seasons,"Docuseries, International TV Shows, Reality TV",Netflix
s27,Movie,Minsara Kanavu,Rajiv Menon,"September 21, 2021",1997,6.7,147 min,"Comedies, International Movies, Music & Musicals",Netflix
s28,Movie,Grown Ups,Dennis Dugan,"September 20, 2021",2010,6.0,103 min,Comedies,Netflix
s29,Movie,Dark Skies,Scott Stewart,"September 19, 2021",2013,6.3,97 min,"Horror Movies, Sci-Fi & Fantasy",Netflix
s30,Movie,Paranoia,Robert Luketic,"September 19, 2021",2013,6.0,106 min,Thrillers,Netflix
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","September 17, 2021",2021,5.6,111 min,"Dramas, Independent Movies, International Movies",Netflix
s32,TV Show,Chicago Party Aunt,,"September 17, 2021",2021,5.7,1 Season,TV Comedies,Netflix
s33,TV Show,Sex Education,,"September 17, 2021",2020,8.2,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Netflix
